"","MEblue","MEbrown","MEturquoise","MEyellow"
"J2_14SC1_1",-0.135668023952821,0.0978556764961567,0.13025574139347,-0.0562457830703235
"J2_14SC1_2",-0.0643885423594381,0.0189878926549537,0.184510843818001,-0.0306703631676911
"J2_14SC1_3",-0.0349846665489059,0.0402251294490042,0.0272130225144885,-0.0305275221878252
"J2_14SC1_4",-0.177691324967682,0.0903741035693363,0.146876605996554,-0.0494684010969428
"J2_14SC2_1",-0.0408932810431645,-0.0164255381646148,0.175504408216724,-0.122315802294048
"J2_14SC2_2",-0.104344604229049,0.167390962926611,-0.150068080303349,-0.17565757001617
"J2_14SC2_3",-0.165174401176234,0.18351708757772,0.0698539165990751,-0.0970473702756371
"J2_14SC2_4",-0.0827055610647191,0.0353620776215271,-0.0512733245664395,-0.0330788452642286
"J2_14SC3_1",0.252595246987298,-0.185794299773808,0.144861556850871,-0.0654315139525599
"J2_14SC3_2",-0.107494346658754,0.0983064683951681,0.00459354655821811,-0.112890048615237
"J2_14SC3_3",-0.069896359860877,0.155090950281947,-0.182206426609816,-0.113452234107654
"J2_14SC3_4",0.190598951632384,-0.206633354196692,0.0493630914962909,-0.0671753271195394
"J2_14SN1_1",0.168417978814236,-0.13255055892119,-0.0630891898773244,-0.0150233017413787
"J2_14SN1_2",-0.0685122277524125,0.0684974794555628,-0.203111640261272,-0.14416623200618
"J2_14SN1_3",-0.131248891697152,0.089861222788409,0.177829882223564,-0.0591330635852511
"J2_14SN1_4",0.18276968573315,-0.19231453059771,-0.0724619312483057,-0.00791154050558635
"J2_14SN2_1",0.119890383999222,0.00997187400829344,-0.0455297210231396,-0.146058556424482
"J2_14SN2_2",0.265863333311969,-0.203285466687722,-0.0257263779943497,-0.175873783302791
"J2_14SN2_3",0.0183160427018986,-0.0624723505683274,0.101083832949714,-0.133932145919204
"J2_14SN2_4",-0.0506205752485306,0.0505087767711601,-0.00974173702304852,-0.1450363241214
"J2_14SN3_1",0.286632828640598,-0.27066858915352,0.127431036283945,-0.030234242969059
"J2_14SN3_2",0.00436322898484474,-0.0236908554515537,0.0681442143635538,-0.0550566076088949
"J2_14SN3_3",0.0684611467068956,0.0148225179801842,-0.296424639435683,-0.171023567879056
"J2_14SN3_4",-0.0950711903638838,0.0670655200175011,-0.00628042165002452,-0.110641423986006
"J2_14SR1_1",-0.155218010632654,0.187804812865829,-0.234489903980694,-0.0529474487038598
"J2_14SR1_2",-0.143756591851859,0.24841301906588,-0.353887469380847,-0.111597242599106
"J2_14SR1_3",-0.102494249716622,0.167554873056904,-0.072828817494022,-0.161481732597426
"J2_14SR1_4",-0.174617829087577,0.233476037538154,-0.306613847758755,-0.162575311421834
"J2_14SR2_1",-0.150674161945185,0.168777459443297,0.00177848393788561,-0.12976523806439
"J2_14SR2_2",-0.0810728271367438,0.0865865454292398,0.192894030573172,-0.147821234045829
"J2_14SR2_3",-0.0820925363926282,0.121098213328266,0.219085908668299,0.0446764166823089
"J2_14SR2_4",0.0421922955211117,-0.0642501075742889,0.175102984114697,0.0760704681798526
"J2_14SR3_1",-0.000467722342319063,-0.122290342911176,0.10460623293578,0.234954679947519
"J2_14SR3_2",-0.167505318174782,0.161368829160507,-0.24438819033058,0.0148259151125742
"J2_14SR3_3",0.0756926202381298,-0.225548504165334,0.155706594716145,0.393133379747271
"J2_14SR3_4",-0.152212778188965,0.149503710509961,-0.126174516967053,0.128475919411914
"J2_14SS1_1",0.228924512110861,-0.233208434855804,0.0951284389465958,0.213174950307389
"J2_14SS1_2",0.29081485418507,-0.242946810554595,-0.0549203843523356,0.256105105962077
"J2_14SS1_3",0.204482350392904,-0.150268241015323,0.122817074475812,0.222666120064667
"J2_14SS2_1",0.135153492803304,-0.155932516276911,0.1709176355443,0.198015352870672
"J2_14SS2_2",-0.08775649379172,0.0479453557023786,-0.00209902731843401,0.11941331919759
"J2_14SS2_3",0.00249965197708215,-0.00541664015913678,0.0912279420889303,0.19594785959426
"J2_14SS2_4",-0.0221647453608646,0.044175793777358,-0.148539258974222,0.204669154388189
"J2_14SS3_1",0.226848646193216,-0.257716157533073,-0.0392977403534591,0.221715431987781
"J2_14SS3_2",-0.177469319416275,0.0601224997087147,0.0418385448580115,0.0709759258828526
"J2_14SS3_3",0.177851617542674,-0.163387346198213,-0.0945619752305667,0.148835074823083
"J2_14SS3_4",-0.116172287515029,0.0501357551789695,0.0050890520096228,0.170584704489591
