"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"13060","MSTRG.16937",-21.431,2.842324e-07,0.000209661,"DOWN"
"13175","MSTRG.6784",-8.837872,0.0006495817,0.04199508,"DOWN"
"13194","MSTRG.73701",-14.75394,0.0003478238,0.02752459,"DOWN"
"13245","MSTRG.76661",-13.11951,0.0004502548,0.03321256,"DOWN"
"13281","MSTRG.79396",-12.9129,0.0003284876,0.02648858,"DOWN"
"13440","MSTRG.17983",-7.175169,0.0001519762,0.01550972,"DOWN"
"13549","MSTRG.13293",-15.24739,0.0003112696,0.02565181,"DOWN"
"13685","MSTRG.69226",-12.35006,0.0002464337,0.02191409,"DOWN"
"13892","MSTRG.7004",-24.58318,9.361949e-07,0.0004526278,"DOWN"
"14080","MSTRG.54295",-4.948085,0.0007247727,0.04473988,"DOWN"
"14084","MSTRG.2272",-9.202705,0.0005196829,0.03642313,"DOWN"
"14094","LOC111116829",-15.25711,0.0001191305,0.01340123,"DOWN"
"14246","MSTRG.80653",-17.72058,6.85629e-06,0.001804127,"DOWN"
"14311","MSTRG.62158",-24.77337,4.694111e-06,0.001446686,"DOWN"
"14554","MSTRG.56553",-21.53547,4.53401e-06,0.001436706,"DOWN"
"14569","MSTRG.84223",-24.75316,1.328094e-07,0.0001327976,"DOWN"
"14631","MSTRG.60694",-21.05572,3.210608e-05,0.005304054,"DOWN"
"14671","MSTRG.36664",5.238105,0.0006185758,0.04073813,"UP"
"14727","MSTRG.51728",-11.84152,0.0005003113,0.03562026,"DOWN"
"14821","LOC111130611",-16.60919,7.871368e-05,0.01020692,"DOWN"
"14851","MSTRG.35318",-15.68146,2.674023e-06,0.0009517873,"DOWN"
"14857","MSTRG.3303",-15.09627,0.0001068618,0.01239266,"DOWN"
"14996","LOC111114240",-14.13141,0.0001229674,0.01362818,"DOWN"
"15008","MSTRG.53259",-11.75501,9.286875e-06,0.002210964,"DOWN"
"15030","MSTRG.66175",-9.091891,0.0004084677,0.03099395,"DOWN"
"15046","MSTRG.12106",-1.037801,0.0001660474,0.01642081,"DOWN"
"15098","MSTRG.57238",-10.7659,0.000553654,0.03763175,"DOWN"
"15162","MSTRG.82828",-25.42535,1.32258e-06,0.000594776,"DOWN"
"15220","MSTRG.20442",-24.33221,2.304082e-07,0.000181885,"DOWN"
"15306","LOC111136264",-13.72049,0.0002748046,0.02364265,"DOWN"
"15332","LOC111106627",-25.10958,2.332684e-06,0.0008651977,"DOWN"
"15654","MSTRG.79468",-19.52849,6.509183e-05,0.008961854,"DOWN"
"15659","MSTRG.17863",-8.960022,0.0002152366,0.01980529,"DOWN"
"15661","MSTRG.17866",-9.17209,0.0005746026,0.03869268,"DOWN"
"15811","MSTRG.80296",-5.622485,0.0007618924,0.04620231,"DOWN"
"15943","MSTRG.27763",-18.24788,8.161895e-05,0.01037437,"DOWN"
"15983","LOC111138171",-14.64197,0.0001577442,0.01595024,"DOWN"
"16134","MSTRG.708",-11.63476,0.0005293615,0.036636,"DOWN"
"16141","MSTRG.73639",-16.32694,6.657115e-05,0.009049654,"DOWN"
"16253","MSTRG.80906",-10.04871,0.0008147194,0.04823568,"DOWN"
"16259","MSTRG.67412",-26.17106,1.166601e-07,0.0001220753,"DOWN"
"16264","MSTRG.53447",-5.33876,0.0002045612,0.01929651,"DOWN"
"16266","MSTRG.53442",-9.002149,0.0001037267,0.01218073,"DOWN"
"16303","LOC111116215",-19.1442,5.961794e-05,0.008462362,"DOWN"
"16443","MSTRG.71825",-19.7646,5.071961e-06,0.001485202,"DOWN"
"16517","MSTRG.79309",-16.13065,0.0002588017,0.02261173,"DOWN"
"16615","LOC111123675",-9.76854,0.0006890029,0.04335996,"DOWN"
"16657","LOC111106716",-18.84399,3.468042e-07,0.000243825,"DOWN"
"16733","MSTRG.71389",-3.326755,0.0006327879,0.04126511,"DOWN"
"16805","MSTRG.67689",-8.596202,0.0001016545,0.01200537,"DOWN"
"16915","MSTRG.22595",-11.54532,3.748272e-05,0.005980754,"DOWN"
"16972","MSTRG.47595",-20.69374,4.935948e-07,0.0002961305,"DOWN"
