"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"1","LOC111123850",0.00944347806114825,0.515407461180023,1,"NO"
"2","LOC111119799",0.00769070888360576,0.692382589638302,1,"NO"
"3","LOC111134853",-0.00407306008750034,0.762299409559011,1,"NO"
"4","MSTRG.58116",0.0512003423755089,0.0664849405734767,0.807102637396941,"NO"
"6","MSTRG.58114",0.0283457758360556,0.265054392866482,1,"NO"
"7","MSTRG.73495",0.0137679046890521,0.404406801199754,1,"NO"
"8","MSTRG.58119",0.0215446261436856,0.212456279721149,1,"NO"
"9","MSTRG.53045",0.00686811753728974,0.618163275858811,1,"NO"
"10","LOC111125093",-0.00952931872715474,0.513802621299901,1,"NO"
"11","MSTRG.73496",0.00333876426765685,0.82432169411038,1,"NO"
"12","LOC111126079",-0.0157662651545366,0.315847960975054,1,"NO"
"13","LOC111115470",0.0194888750040182,0.417461401781382,1,"NO"
"14","LOC111116974",-0.0014266097237,0.915101752510462,1,"NO"
"15","LOC111135972",-0.0429273331320648,0.120314614044848,0.930416853544635,"NO"
"16","MSTRG.43178",-0.00612092515895691,0.707955555987947,1,"NO"
"17","MSTRG.19848",0.0190780684162073,0.31462156384695,1,"NO"
"18","MSTRG.43175",-0.00348546213658642,0.794567885516876,1,"NO"
"19","MSTRG.19847",0.0313016253269836,0.204116271975466,1,"NO"
"20","LOC111110274",0.0313578387985496,0.197861650794493,1,"NO"
"21","MSTRG.19843",-0.00631200628588035,0.786620753825433,1,"NO"
"22","MSTRG.19840",-0.00189632212015986,0.900985430059654,1,"NO"
"23","MSTRG.43172",-0.00787714750035079,0.606908928341582,1,"NO"
"24","LOC111106249",-0.00122043721710848,0.928987352272123,1,"NO"
"25","MSTRG.10522",-0.0399633342980444,0.078529260686117,0.838429326373049,"NO"
"26","MSTRG.37300",0.0190390818206968,0.324411364687638,1,"NO"
"27","MSTRG.37303",-0.0513889591185205,0.0830930891278762,0.851936204476965,"NO"
"28","MSTRG.37302",-0.01283037928713,0.565814270500411,1,"NO"
"29","LOC111136067",0.00769781058983057,0.584708998142294,1,"NO"
"30","MSTRG.37307",0.0466677408078957,0.155774771996382,0.971749211100865,"NO"
"31","MSTRG.37308",-0.0630048877303115,0.0379793271740642,0.671908134267052,"NO"
"32","MSTRG.10528",0.0119710013930284,0.418183835760296,1,"NO"
"33","LOC111125720",0.0122574654259685,0.430565030773453,1,"NO"
"34","LOC111120529",-0.00851739957826094,0.544460408414325,1,"NO"
"35","LOC111123598",0.00276788424994551,0.841030677117318,1,"NO"
"36","LOC111133529",-0.0240048398829226,0.239464176467653,1,"NO"
"37","MSTRG.54609",0.0151692820609261,0.332000924399742,1,"NO"
"38","LOC111104259",-0.359287483542991,0.00365564031433062,0.225240673289789,"NO"
"39","MSTRG.80655",-0.00844640565992252,0.552840384837211,1,"NO"
"40","MSTRG.5661",-0.00922257073658427,0.736034488930521,1,"NO"
"41","LOC111100821",0.000674243253710952,0.972463574029593,1,"NO"
"42","MSTRG.75285",0.0376440512142724,0.139915490821822,0.956319513825773,"NO"
"43","MSTRG.5664",0.00603781691346178,0.686898189636631,1,"NO"
"44","MSTRG.5666",0.00288516934728047,0.829299314987114,1,"NO"
"45","MSTRG.5669",0.0209350456734969,0.297843989931299,1,"NO"
"46","LOC111106363",-0.00136511796587272,0.918602392296412,1,"NO"
"47","LOC111128777",0.0154140463880435,0.325361349490038,1,"NO"
