"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MSTRG.22578|LOC111123850",6.04846932581862,0.00950593868645826,0.161319340589809,0.51808007016042,0.993514686356663
"MSTRG.9735|LOC111119799",35.4769095215178,0.00781795890496584,0.0912956333716765,0.693499563655638,1
"MSTRG.73495",2.22310209523521,0.0139127932147684,0.223361668987534,0.409383721572727,0.975945146467042
"MSTRG.73496",85.9660691452006,0.00336239638636136,0.100162740044166,0.82463369119031,1
"MSTRG.24540|LOC111126079",13.789147005494,-0.0156958532608864,0.152855092798803,0.318071131315543,0.95222529138323
"MSTRG.72200|LOC111115470",1.41103371354643,0.0182352838593407,0.379616252181585,0.41746428880039,0.976654636172233
"MSTRG.2686|LOC111116974",246.97696132671,-0.00142602531670868,0.114795395105455,0.915018838120649,1
"MSTRG.47090|LOC111135972",2.57171609165328,-0.0407521278436547,0.410870494827484,0.127026012492097,0.838965084005072
"MSTRG.43178",343.258131113607,-0.00621825713912977,0.0971085534828187,0.707809014419048,1
"MSTRG.19848",64.9756606596799,0.0192906005231643,0.101710755315341,0.315899503483627,0.950936057446447
"MSTRG.19847",101.497869244257,0.0319349038077181,0.096970128016087,0.204882092110772,0.900918950897404
"MSTRG.61446|LOC111110274",11.9759510043535,0.0299095957072753,0.376716161571192,0.204080024761808,0.899425240330828
"MSTRG.19843",240.831907259556,-0.00646324207488516,0.0852144914908054,0.786479129844609,1
"MSTRG.43172",32.9766642548408,-0.00790755680671259,0.103122527481033,0.607907762944576,0.998623896034219
"MSTRG.63021|LOC111106249",14.4858800457111,-0.00123466073360341,0.157271540320894,0.929454196321962,1
"MSTRG.10522",91.5235799779063,-0.0395184857339829,0.162230113006219,0.0788762034559897,0.745826696401018
"MSTRG.37300",4.02998808042931,0.0187139293297448,0.288705920555611,0.330784068115319,0.955814757595981
"MSTRG.37303",408.716773646392,-0.0527728356527906,0.105673462523052,0.0826795046169951,0.75739558435184
"MSTRG.37302",260.771563082351,-0.0131467062481441,0.088511792016332,0.565588528134559,0.996708589168149
"MSTRG.2563|LOC111136067",3.72563188030542,0.00770762126687912,0.150455332342031,0.587654517372344,0.997274014819789
"MSTRG.37307",338.720530107671,0.0477203498079803,0.0885673512622812,0.15542290924055,0.865773876728662
"MSTRG.37308",406.594043119101,-0.0639292366032787,0.130687480476904,0.0377521731690823,0.60199688198479
"MSTRG.10528",83.1947245314837,0.0119195426305562,0.130722169026745,0.419134399861895,0.977020901706735
"MSTRG.23480|LOC111125720",14.0384019825167,0.0122255788262845,0.111190757495349,0.432484393834068,0.978099146695089
"MSTRG.10593|LOC111120529",4.48279892294283,-0.00844682758650392,0.130679337084628,0.547251844244239,0.996581365354478
"MSTRG.5151|LOC111133529",38.9645352816549,-0.0242784493395329,0.103086944347736,0.240809779314069,0.920169005693744
"MSTRG.54609",3488.36844842753,0.015247824821745,0.159929265231122,0.331986543284137,0.955871721901418
