GeneID,neglogpvalue
LOC111123850,0.308133391896397
LOC111119799,0.0773338750462016
LOC111125093,0.0658856173996323
LOC111126079,-0.992922424947505
LOC111116974,0.237662104739963
LOC111135972,-0.100572512990138
LOC111110274,0.946322223005734
LOC111106249,-1.45688817577775
LOC111136067,0.58171830976527
LOC111125720,-0.270226560292238
LOC111120529,0.0988793810461567
LOC111123598,-0.0763538411067225
LOC111133529,0.902402634440759
LOC111104259,-0.619267520812588
LOC111100821,0.862223098741204
LOC111106363,0.00429032648624735
LOC111128777,5.4083960701935
LOC111128796,1.26250772349658
LOC111117055,0.0209708262296248
LOC111120558,-0.0357722460669987
LOC111117203,-0.143260205175377
LOC111121607,0.0304758912851721
LOC111138336,0.820739234157558
LOC111107783,0.135666567894047
LOC111115979,-0.473339982865472
LOC111135126,1.37377202168592
LOC111119224,-0.900764539719045
LOC111122561,-0.948762903816775
LOC111112131,3.4416646532351
LOC111131186,-0.962762929356913
LOC111104535,1.51474300921012
LOC111112953,0.88188720859754
LOC111129235,1.05033633449092
LOC111130759,0.311210399049074
LOC111108434,-0.731433375262761
LOC111113850,0.088981502488257
LOC111104582,0.647995909947643
LOC111119115,-0.573764834442674
LOC111130938,0.603366606672746
LOC111120010,-1.77078996824892
LOC111111661,-0.132082132832136
LOC111111115,0.912079095220716
LOC111131224,0.432740072731579
LOC111130414,-0.467217620801016
LOC111135595,0.790029716929667
LOC111102922,1.95147652008131
LOC111128433,-1.15499443672905
LOC111128592,-1.86964019115396
LOC111129036,-0.332770598314959
LOC111111450,-0.604942006777048
LOC111118402,-0.0560225393194331
LOC111100766,-0.81287652803208
LOC111101895,3.20392426432555
LOC111099426,-0.690258408277141
LOC111119134,0.0557225947539963
LOC111127026,-0.277498588536741
LOC111134641,0.0346547548261719
LOC111132999,-0.877463834415868
LOC111108717,0.964173856522147
LOC111131124,-1.01774786638537
LOC111131412,-0.363398079520264
LOC111135297,1.64102835057965
LOC111108249,-0.098775304610528
LOC111111438,0.331138960100437
LOC111117415,2.13700564406561
LOC111110281,-0.863855771960672
LOC111134913,0.26764264645748
LOC111107547,-0.19867855459279
LOC111137346,-0.187220602537904
LOC111099289,0.236544273705379
LOC111121375,2.32479449905887
LOC111137215,-0.0303689659670524
LOC111121772,0.932976414662588
LOC111131183,0.607798130811596
LOC111114870,-3.24613117054957
LOC111124551,-0.381194467635527
LOC111099925,-0.362145213516209
LOC111108136,-0.870733067685862
LOC111124393,-0.552121358666891
LOC111105705,-0.40195580015262
LOC111120352,1.68996598839229
LOC111106351,0.0210046715829617
LOC111102879,0.00755950150183182
LOC111133755,0.364722562522452
LOC111135067,0.282084418610883
LOC111119092,-0.092869502996797
LOC111113322,1.04281522534968
LOC111116479,-2.09998988214337
LOC111118127,0.157075296218781
LOC111130009,0.174335455783352
LOC111124724,-0.747315514737426
LOC111136447,1.47434800771718
LOC111129784,-0.181783454709213
LOC111131461,1.81636581447136
LOC111121187,1.21377090373394
LOC111114920,-0.69587260147334
LOC111131429,0.792841299161406
LOC111112587,5.8038656714059
LOC111099439,-2.09502753579616
LOC111137757,0.889046563236533
LOC111129254,-3.77951486395122
LOC111136488,-2.86711624319565
LOC111115807,0.280362998332891
