name	term	lev	seq	value
"hydrolase activity"	GO:0016787	2	LOC111114532	-2.62808613712203
"hydrolase activity"	GO:0016787	2	LOC111133166	-0.0121822420429265
"hydrolase activity"	GO:0016787	2	LOC111126711	0.885256098739161
"hydrolase activity"	GO:0016787	2	LOC111113029	-3.05496428184387
"hydrolase activity"	GO:0016787	2	LOC111136395	0.0666676197638053
"hydrolase activity"	GO:0016787	2	LOC111131732	-0.774596762289936
"hydrolase activity"	GO:0016787	2	LOC111119402	-1.86865784458143
"hydrolase activity"	GO:0016787	2	LOC111106927	-0.738050577242772
"hydrolase activity"	GO:0016787	2	LOC111137272	-4.53873169703895
"hydrolase activity"	GO:0016787	2	LOC111107171	5.36305252196558
"hydrolase activity"	GO:0016787	2	LOC111130693	0.38231052507347
"hydrolase activity"	GO:0016787	2	LOC111132482	0.135562758209917
"hydrolase activity"	GO:0016787	2	LOC111102480	0.702981271675411
"hydrolase activity"	GO:0016787	2	LOC111100578	1.9040754309855
"hydrolase activity"	GO:0016787	2	LOC111125844	0.471660024395726
"hydrolase activity"	GO:0016787	2	LOC111132361	0.49059936741615
"hydrolase activity"	GO:0016787	2	LOC111128927	-0.0540662124665747
"hydrolase activity"	GO:0016787	2	LOC111127104	2.72881050391996
"hydrolase activity"	GO:0016787	2	LOC111125867	-1.24866416982181
"hydrolase activity"	GO:0016787	2	LOC111121960	0.492759665776296
"hydrolase activity"	GO:0016787	2	LOC111106930	0.17891130536984
"hydrolase activity"	GO:0016787	2	LOC111103563	-0.772829541817352
"hydrolase activity"	GO:0016787	2	LOC111099110	-1.41740314248712
"hydrolase activity"	GO:0016787	2	LOC111120720	1.93971824098527
"hydrolase activity"	GO:0016787	2	LOC111122049	0.205028692949476
"hydrolase activity"	GO:0016787	2	LOC111129958	0.497010552370651
"hydrolase activity"	GO:0016787	2	LOC111121244	0.719918246811498
"hydrolase activity"	GO:0016787	2	LOC111112488	-0.0734723343688
"hydrolase activity"	GO:0016787	2	LOC111099746	1.11619650428373
"hydrolase activity"	GO:0016787	2	LOC111125156	-0.310259071151299
"hydrolase activity"	GO:0016787	2	LOC111112808	-2.65746635063647
"hydrolase activity"	GO:0016787	2	LOC111112269	0.522745727401003
"hydrolase activity"	GO:0016787	2	LOC111134145	-1.35124154878665
"hydrolase activity"	GO:0016787	2	LOC111126171	1.75844441026764
"hydrolase activity"	GO:0016787	2	LOC111132041	0.00780464855323993
"hydrolase activity"	GO:0016787	2	LOC111120703	-1.402842017138
"hydrolase activity"	GO:0016787	2	LOC111110315	0.277449521628109
"hydrolase activity"	GO:0016787	2	LOC111121546	-0.711151458617117
"hydrolase activity"	GO:0016787	2	LOC111125836	1.5147391262288
"hydrolase activity"	GO:0016787	2	LOC111119749	-0.283859155785459
"hydrolase activity"	GO:0016787	2	LOC111105459	0.886209013401434
"hydrolase activity"	GO:0016787	2	LOC111119955	-0.157457582957825
"hydrolase activity"	GO:0016787	2	LOC111127871	1.60690174418764
"hydrolase activity"	GO:0016787	2	LOC111130788	-0.692151169651409
"hydrolase activity"	GO:0016787	2	LOC111105282	0.914685914770376
"hydrolase activity"	GO:0016787	2	LOC111100268	-0.246148702906816
"hydrolase activity"	GO:0016787	2	LOC111126313	0.711652053331119
"hydrolase activity"	GO:0016787	2	LOC111138066	0.114621035099158
"hydrolase activity"	GO:0016787	2	LOC111134833	0.092119449775359
"hydrolase activity"	GO:0016787	2	LOC111132411	-0.377840904667695
"hydrolase activity"	GO:0016787	2	LOC111132339	-0.570448650073968
"hydrolase activity"	GO:0016787	2	LOC111134967	0.990311952578819
"hydrolase activity"	GO:0016787	2	LOC111127514	-0.651167365490458
"hydrolase activity"	GO:0016787	2	LOC111102238	0.222810821971026
"hydrolase activity"	GO:0016787	2	LOC111099755	0.299191722212977
"hydrolase activity"	GO:0016787	2	LOC111111249	-0.238745157604035
"hydrolase activity"	GO:0016787	2	LOC111104113	-0.951087668388137
"hydrolase activity"	GO:0016787	2	LOC111101524	-0.838759489577266
"hydrolase activity"	GO:0016787	2	LOC111113700	-3.9590727316714
"hydrolase activity"	GO:0016787	2	LOC111114627	0.380785669828639
"hydrolase activity"	GO:0016787	2	LOC111118031	-1.81432734893199
"hydrolase activity"	GO:0016787	2	LOC111109617	-0.522027161075097
"hydrolase activity"	GO:0016787	2	LOC111125149	0.0372912072067487
"hydrolase activity"	GO:0016787	2	LOC111108563	0.171275100759466
"hydrolase activity"	GO:0016787	2	LOC111115064	-1.23383039462116
"hydrolase activity"	GO:0016787	2	LOC111115043	-0.970433528689643
"hydrolase activity"	GO:0016787	2	LOC111100793	0.692656760497769
"hydrolase activity"	GO:0016787	2	LOC111133508	-0.0712663785064935
"hydrolase activity"	GO:0016787	2	LOC111101025	-1.17049630255102
"hydrolase activity"	GO:0016787	2	LOC111133398	3.58984431478347
"hydrolase activity"	GO:0016787	2	LOC111106467	-0.82994213527292
"hydrolase activity"	GO:0016787	2	LOC111135357	-0.125157650194564
"hydrolase activity"	GO:0016787	2	LOC111134396	1.71388474906372
"hydrolase activity"	GO:0016787	2	LOC111108521	0.626450652966255
"hydrolase activity"	GO:0016787	2	LOC111131501	-0.518691734461091
"hydrolase activity"	GO:0016787	2	LOC111117315	-0.0163841651139085
"hydrolase activity"	GO:0016787	2	LOC111130532	0.752970420261328
"hydrolase activity"	GO:0016787	2	LOC111117031	0.62321068051051
