"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
218 0.409845474027862 3 176 "GO:0055085" "transmembrane transport" 0.747967990100848
-1349 0.0312896840153277 2 31 "GO:0061024" "membrane organization" 0.152276462207928
-962 0.00111519761827245 3 141 "GO:0065003;GO:0043933" "protein-containing complex assembly" 0.0103389433878166
1469 0.102656442493655 2 15 "GO:0071554" "cell wall organization or biogenesis" 0.340632741001673
4 0.979510013856196 3 509 "GO:0090304;GO:0006139;GO:0006725;GO:0046483;GO:1901360" "organic cyclic compound metabolic process" 0.979510013856196
-290 0.702804502528308 3 21 "GO:0140014;GO:0000280;GO:1903047;GO:0048285;GO:0022402" "mitotic nuclear division" 0.885593768108945
235 0.00031273390168833 5 7389 "unknown" "unknown" 0.00456591496464962
759 0.513663643621191 5 9 "unknown;GO:0003674" "unknown;GO:0003674" 0.831817099726477
-358 0.786109274072066 5 7 "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" "unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192" 0.91992284251635
1362 0.338602230031656 5 6 "unknown;GO:0043167" "unknown;GO:0043167" 0.686610077564191
