GeneID,neglogpvalue
LOC111108586,0.000853057756568317
LOC111123850,1.15128154297223
LOC111119799,0.620741469458131
LOC111108596,-0.302937458661959
LOC111134853,-0.598433917339715
LOC111125093,0.331148283951477
LOC111126079,0.847083682695083
LOC111115470,-0.0381208802050024
LOC111116974,0.236419418775449
LOC111135972,0.740825502723277
LOC111119859,-0.0974854003056301
LOC111110274,0.110005632867959
LOC111106249,3.34979507416689
LOC111136067,-0.438853151211071
LOC111125720,0.918489045184553
LOC111120529,-1.2542814818409
LOC111123598,-0.669011891522676
LOC111133529,0.682291447830072
LOC111104259,-6.29764875491218
LOC111100821,-0.305356497869703
LOC111106363,-0.311605380245605
LOC111128777,0.825053771241269
LOC111128796,-0.910537905219804
LOC111117055,-0.790673750417346
LOC111120558,-0.49464976162857
LOC111117203,1.03218198266425
LOC111121607,-0.127591729017109
LOC111138336,-0.412723094738808
LOC111107783,0.704434746622436
LOC111115979,0.132568247213275
LOC111135126,-1.57564664510388
LOC111107644,-0.422712407058661
LOC111119224,-0.392101764111053
LOC111112131,1.81500731441597
LOC111134136,-0.113666264770015
LOC111134272,0.0726418242198781
LOC111131186,-3.48478052761122
LOC111104535,-0.647647886162038
LOC111112953,-0.655113618129355
LOC111138446,0.0940873234270884
LOC111130759,0.11535983702468
LOC111108434,1.07437452327475
LOC111113850,-5.11608980484143
LOC111130361,0.118081803284142
LOC111104582,-0.187483249758379
LOC111119115,0.016404447735335
LOC111130938,0.321545238812585
LOC111137819,0.316752133169494
LOC111120010,0.00499698115456088
LOC111111661,-2.24046804247505
LOC111111115,-3.20453440488106
LOC111131224,-0.755690652903737
LOC111130414,0.437709634177344
LOC111135595,0.0308829745871
LOC111102922,-0.0778505059520771
LOC111128433,-1.72015677718345
LOC111128592,-3.01411697768433
LOC111129036,-0.311744213043482
LOC111111450,-1.38711628038814
LOC111124462,0.053984800816387
LOC111118402,0.0779284324881781
LOC111100766,-0.165472027547013
LOC111099426,-2.18178195628636
LOC111119134,-1.67351841165549
LOC111127026,0.979982805675845
LOC111134641,0.592426940021079
LOC111132999,0.267695270122608
LOC111108717,-1.77622727691496
LOC111131124,-1.48825656627552
LOC111131412,-1.85924706411766
LOC111135297,-0.726588374362646
LOC111108249,-0.134695120120084
LOC111102157,0.156267106333528
LOC111111438,-1.39762797578141
LOC111117415,0.155759981933485
LOC111110281,-0.34517462904028
LOC111110520,-0.245954906950418
LOC111134913,-0.246625913329718
LOC111107547,0.0613064655545436
LOC111137346,-0.166007169307963
LOC111099289,0.319604297954812
LOC111121375,-0.325361522831019
LOC111137215,-0.507024106017906
LOC111121772,2.62884961808561
LOC111131183,0.8715695760501
LOC111114870,-0.116560465913655
LOC111124551,0.370938175245508
LOC111099925,-0.759009567998348
LOC111108136,-0.874412142513896
LOC111112811,-0.295351708536498
LOC111124393,-0.881924928897746
LOC111105705,0.280040117935532
LOC111120352,-4.15062450027007
LOC111106351,0.0292745482197781
LOC111102879,0.0385805283291206
LOC111133755,-0.00490285911406837
LOC111119092,0.150781620614416
LOC111113322,0.0961743243369905
LOC111116479,-0.478061046390407
LOC111118127,-0.738059669460324
LOC111130009,0.599543714398376
LOC111124724,-1.36303631609101
LOC111136447,-1.51347668604687
LOC111129784,-0.159289364799485
LOC111131461,0.273913370379666
LOC111121187,0.0695237423227941
LOC111114920,-1.75525509527099
LOC111112587,0.768275230521317
LOC111099439,0.98720278349445
LOC111137757,-1.21366784794319
LOC111129254,-4.36037543243357
LOC111136488,0.332419324802779
LOC111115807,-0.913894747142344
LOC111114635,-0.0975252551962365
LOC111133827,0.159854242181295
LOC111131058,-1.04338165032264
LOC111137991,-0.37335268415101
LOC111132146,0.417718280671089
LOC111110119,-0.0772182506673408
LOC111136680,0.97248093391409
LOC111125181,-0.062946953720094
LOC111133867,-0.291932715458545
LOC111128813,0.191156446723478
LOC111119587,-0.583565024499171
LOC111135334,-0.256794492597071
LOC111110924,-0.261519435270584
LOC111104241,-0.272417677085813
LOC111131728,-2.68099793144216
LOC111103859,-1.41304960757082
LOC111132946,-0.18565154109558
LOC111105683,-0.611542073745747
LOC111100540,-0.394022721307974
LOC111125683,-0.0371594800065452
LOC111129355,-3.81682393715255
LOC111131531,-3.66557408742415
LOC111111983,-0.0226653440081691
LOC111103903,0.251628755048201
LOC111114133,-0.051478361997977
