GeneID	Annotation_GO_ID
LOC111099154	GO:0005575;GO:0007165;GO:0022857
LOC111099155	GO:0008219;GO:0008233
LOC111099156	GO:0008233
LOC111099158	unknown
LOC111099166	GO:0005575;GO:0022857
LOC111099167	unknown
LOC111099168	GO:0003674;GO:0009058
LOC111099169	GO:0003677
LOC111099170	GO:0008289;GO:0022857
LOC111099171	GO:0003674;GO:0005575;GO:0007165
LOC111099171	GO:0003674;GO:0005575;GO:0007165
LOC111099171	GO:0003674;GO:0005575;GO:0007165
LOC111099171	GO:0003674;GO:0005575;GO:0007165
LOC111099171	GO:0003674;GO:0005575;GO:0007165
LOC111099172	GO:0008233;GO:0043167
LOC111099173	unknown
LOC111099174	GO:0004518;GO:0006399
LOC111099174	GO:0004518;GO:0006399
LOC111099176	unknown
LOC111099178	unknown
LOC111099179	unknown
LOC111099182	GO:0016853
LOC111099183	GO:0003674
LOC111099184	GO:0003677;GO:0009058;GO:0034641
LOC111099185	GO:0008233
LOC111099186	GO:0003677;GO:0009058;GO:0034641
LOC111099188	unknown
LOC111099190	unknown
LOC111099190	unknown
LOC111099191	unknown
LOC111099192	GO:0003674
LOC111099193	GO:0005975;GO:0016810
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099194	unknown
LOC111099195	GO:0005198;GO:0031012;GO:0043167
LOC111099196	unknown
LOC111099196	unknown
LOC111099196	unknown
LOC111099196	unknown
LOC111099196	unknown
LOC111099196	unknown
LOC111099199	GO:0006464;GO:0016301;GO:0043167
LOC111099199	GO:0006464;GO:0016301;GO:0043167
LOC111099200	GO:0003674
LOC111099201	GO:0043167
LOC111099202	unknown
LOC111099203	unknown
LOC111099206	unknown
LOC111099206	unknown
LOC111099206	unknown
LOC111099206	unknown
LOC111099207	GO:0005575;GO:0022857
LOC111099209	unknown
LOC111099211	GO:0004386;GO:0043167
LOC111099213	unknown
LOC111099216	GO:0003674
LOC111099217	GO:0005575;GO:0008150
LOC111099217	GO:0005575;GO:0008150
LOC111099217	GO:0005575;GO:0008150
LOC111099217	GO:0005575;GO:0008150
LOC111099218	GO:0003674
LOC111099219	unknown
LOC111099222	GO:0003674;GO:0005975
LOC111099222	GO:0003674;GO:0005975
LOC111099222	GO:0003674;GO:0005975
LOC111099222	GO:0003674;GO:0005975
LOC111099222	GO:0003674;GO:0005975
LOC111099222	GO:0003674;GO:0005975
LOC111099223	unknown
LOC111099225	GO:0043167
LOC111099230	GO:0016757
LOC111099230	GO:0016757
LOC111099278	unknown
LOC111099289	unknown
LOC111099300	GO:0008150
LOC111099300	GO:0008150
LOC111099327	GO:0009058;GO:0016301;GO:0034641;GO:0043167;GO:0044281
LOC111099343	GO:0003674
LOC111099359	GO:0003677;GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641
LOC111099375	GO:0005634;GO:0006950;GO:0007049
LOC111099375	GO:0005634;GO:0006950;GO:0007049
LOC111099375	GO:0005634;GO:0006950;GO:0007049
LOC111099410	GO:0043167
LOC111099415	unknown
LOC111099415	unknown
LOC111099416	unknown
LOC111099420	GO:0016491
LOC111099420	GO:0016491
LOC111099420	GO:0016491
LOC111099424	GO:0003674;GO:0005794;GO:0016192
LOC111099426	GO:0003677;GO:0005634;GO:0009058;GO:0034641
LOC111099426	GO:0003677;GO:0005634;GO:0009058;GO:0034641
LOC111099426	GO:0003677;GO:0005634;GO:0009058;GO:0034641
