MSTRG.20315	unknown
MSTRG.11082	unknown
MSTRG.479	unknown
MSTRG.913	unknown
MSTRG.76568	unknown
MSTRG.70172	unknown
MSTRG.81066	unknown
MSTRG.7079	unknown
MSTRG.75965	unknown
MSTRG.1769	unknown
MSTRG.5132	unknown
LOC111118016	unknown
LOC111127009	GO:0003674
MSTRG.53442	unknown
LOC111121364	GO:0003677;GO:0005694;GO:0032991
MSTRG.68205	unknown
MSTRG.43427	unknown
LOC111108571	GO:0003674;GO:0005575;GO:0007165
MSTRG.31248	unknown
MSTRG.51946	unknown
MSTRG.49303	unknown
MSTRG.25739	unknown
LOC111102742	unknown
LOC111117742	GO:0043167
MSTRG.26976	unknown
MSTRG.21500	unknown
LOC111101642	GO:0005739;GO:0006091;GO:0043167
MSTRG.37331	unknown
MSTRG.18101	unknown
LOC111131423	unknown
MSTRG.3493	unknown
MSTRG.24675	unknown
MSTRG.79438	unknown
MSTRG.48690	unknown
MSTRG.84301	unknown
MSTRG.25964	unknown
LOC111125304	GO:0003674;GO:0009058;GO:0034641
MSTRG.32231	unknown
MSTRG.8111	unknown
MSTRG.23999	unknown
LOC111133974	unknown
MSTRG.6809	unknown
MSTRG.48106	unknown
LOC111136190	unknown
LOC111127543	unknown
MSTRG.10309	unknown
MSTRG.66543	unknown
MSTRG.46989	unknown
LOC111133914	unknown
MSTRG.48239	unknown
LOC111105303	GO:0005575;GO:0007165;GO:0007267;GO:0022857
MSTRG.76340	unknown
MSTRG.15087	unknown
MSTRG.81123	unknown
LOC111122212	GO:0043167
MSTRG.83144	unknown
MSTRG.24767	unknown
LOC111136407	GO:0003674
MSTRG.74924	unknown
MSTRG.21132	unknown
MSTRG.27905	unknown
LOC111125982	GO:0004518;GO:0005622;GO:0032991
MSTRG.18530	unknown
MSTRG.31747	unknown
MSTRG.65079	unknown
MSTRG.20894	unknown
LOC111126985	unknown
LOC111119655	GO:0003924;GO:0005739;GO:0007005;GO:0043167
MSTRG.27481	unknown
MSTRG.40789	unknown
LOC111137856	unknown
MSTRG.74130	unknown
MSTRG.21080	unknown
MSTRG.83303	unknown
LOC111133472	GO:0003677;GO:0003700;GO:0005634;GO:0008219;GO:0009058;GO:0032991;GO:0034641;GO:0065003
LOC111130495	GO:0005856;GO:0007010;GO:0008092;GO:0032991;GO:0065003
LOC111136016	unknown
LOC111135140	GO:0003674;GO:0009058;GO:0034641
LOC111129720	GO:0007165;GO:0009058;GO:0016829;GO:0034641;GO:0044281
MSTRG.82866	unknown
MSTRG.65207	unknown
MSTRG.62668	unknown
LOC111100369	GO:0003674
LOC111112667	unknown
MSTRG.31211	unknown
LOC111101189	GO:0043167
MSTRG.44522	unknown
MSTRG.13765	unknown
LOC111125584	unknown
MSTRG.71802	unknown
MSTRG.68581	unknown
MSTRG.10489	unknown
MSTRG.72315	unknown
LOC111107106	unknown
MSTRG.31585	unknown
MSTRG.20696	unknown
MSTRG.80429	unknown
MSTRG.27179	unknown
LOC111132780	GO:0006520;GO:0009058;GO:0016301;GO:0016491
LOC111109468	GO:0009058;GO:0034641
MSTRG.74549	unknown
MSTRG.22049	unknown
MSTRG.79941	unknown
MSTRG.48558	unknown
LOC111122257	unknown
MSTRG.73645	unknown
MSTRG.82521	unknown
MSTRG.31687	unknown
MSTRG.77170	unknown
MSTRG.67989	unknown
MSTRG.33035	unknown
MSTRG.30985	unknown
MSTRG.41165	unknown
MSTRG.18713	unknown
MSTRG.67751	unknown
MSTRG.24361	unknown
LOC111101299	GO:0005575;GO:0007165;GO:0022857
MSTRG.29436	unknown
MSTRG.77616	unknown
MSTRG.59833	unknown
MSTRG.57340	unknown
MSTRG.70151	unknown
LOC111122855	GO:0003674
LOC111104325	unknown
LOC111104689	unknown;GO:0030234
MSTRG.23876	unknown
LOC111110276	GO:0043167
MSTRG.9445	unknown
LOC111128060	GO:0003674
MSTRG.73806	unknown
MSTRG.42998	unknown
MSTRG.24917	unknown
MSTRG.18227	unknown
LOC111132436	unknown
MSTRG.46816	unknown
LOC111102451	unknown
MSTRG.17102	unknown
MSTRG.2547	unknown
LOC111124861	GO:0005622;GO:0006397;GO:0022618;GO:0032991
LOC111113160	GO:0003674;GO:0016192
MSTRG.22661	unknown
LOC111127814	GO:0006464;GO:0006520;GO:0016791
MSTRG.45352	unknown
MSTRG.11879	unknown
MSTRG.11649	unknown
LOC111115317	unknown
MSTRG.43713	unknown
MSTRG.13935	unknown
LOC111132078	unknown
LOC111132058	GO:0003674
