GeneID,log2FoldChange
ATP6,0.207511926546559
COX1,0.409768105539512
COX2,0.738874086933514
COX3,0.755270703214716
CYTB,2.023476360013
gene20306,-1.57554248049709
gene38282,1.61318096140127
LOC111099035,0.821709768193026
LOC111099035,0.821709768193026
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099040,-1.99165632837095
LOC111099042,3.53004262678605
LOC111099043,1.45087304371752
LOC111099043,1.45087304371752
LOC111099045,0.32191493537788
LOC111099045,0.32191493537788
LOC111099047,1.28599566570647
LOC111099047,1.28599566570647
LOC111099047,1.28599566570647
LOC111099047,1.28599566570647
LOC111099047,1.28599566570647
LOC111099047,1.28599566570647
LOC111099047,1.28599566570647
LOC111099048,0.475807292442118
LOC111099049,0.216729501398007
LOC111099049,0.216729501398007
LOC111099050,-2.63758324634138
LOC111099053,0.739802044872775
LOC111099054,-1.95070104434288
LOC111099057,-1.7129964942111
LOC111099058,-0.034422977543235
LOC111099059,-1.66001547205515
LOC111099059,-1.66001547205515
LOC111099059,-1.66001547205515
LOC111099060,-0.612011521376717
LOC111099060,-0.612011521376717
LOC111099061,0.010969781756904
LOC111099063,0.326179055214918
LOC111099067,-0.238695492876587
LOC111099068,-0.19271732362652
LOC111099068,-0.19271732362652
LOC111099069,0.660263666732829
LOC111099071,-0.416292119098249
LOC111099072,-1.32472535312271
LOC111099073,0.409512392557054
LOC111099077,-1.28195094498978
LOC111099079,0.94643139307834
LOC111099080,0.0306278460957339
LOC111099081,-0.96955239072243
LOC111099081,-0.96955239072243
LOC111099082,-0.604866368941978
LOC111099084,1.91169429573179
LOC111099084,1.91169429573179
LOC111099087,2.8161562642564
LOC111099087,2.8161562642564
LOC111099087,2.8161562642564
LOC111099087,2.8161562642564
LOC111099088,-0.0271157259742277
LOC111099088,-0.0271157259742277
LOC111099090,-0.0438368573373532
LOC111099091,-0.46704714926041
LOC111099092,0.271062771107144
LOC111099093,0.232070592196164
LOC111099095,0.346264771563997
LOC111099095,0.346264771563997
LOC111099097,-2.89204122821925
LOC111099097,-2.89204122821925
LOC111099097,-2.89204122821925
LOC111099098,-0.58916558445711
LOC111099099,0.699597922269717
LOC111099099,0.699597922269717
LOC111099099,0.699597922269717
LOC111099100,-1.4840234675148
LOC111099101,-1.39362104066614
LOC111099101,-1.39362104066614
LOC111099101,-1.39362104066614
LOC111099103,-0.883979420084126
LOC111099103,-0.883979420084126
LOC111099104,-1.05251425134533
LOC111099106,1.03628210370927
LOC111099106,1.03628210370927
LOC111099106,1.03628210370927
LOC111099106,1.03628210370927
LOC111099108,0.660352060462933
LOC111099109,0.288663584840469
LOC111099110,-1.89452495800259
LOC111099111,-0.309374778564956
LOC111099112,1.14964120223095
LOC111099114,-0.0989660399337002
LOC111099115,-1.18210601796365
LOC111099116,2.11718915569411
LOC111099118,-0.203383731603398
LOC111099119,1.48002800594363
LOC111099120,0.0643134947072111
LOC111099122,0.159269747921857
LOC111099122,0.159269747921857
LOC111099122,0.159269747921857
LOC111099123,-3.31522480820525
LOC111099125,2.5570754046454
LOC111099125,2.5570754046454
LOC111099125,2.5570754046454
LOC111099125,2.5570754046454
LOC111099125,2.5570754046454
LOC111099126,-2.5268466202563
LOC111099127,-0.0456989642947678
LOC111099127,-0.0456989642947678
LOC111099127,-0.0456989642947678
LOC111099131,1.13501425897388
LOC111099131,1.13501425897388
LOC111099132,1.8141284875936
LOC111099133,0.0147745229438391
LOC111099133,0.0147745229438391
LOC111099133,0.0147745229438391
LOC111099133,0.0147745229438391
LOC111099133,0.0147745229438391
LOC111099135,-0.874980054465915
LOC111099135,-0.874980054465915
LOC111099135,-0.874980054465915
LOC111099135,-0.874980054465915
LOC111099136,-0.401810378323238
LOC111099138,-0.0846004472387025
LOC111099139,1.3325892840203
LOC111099139,1.3325892840203
LOC111099141,-2.3499989865522
LOC111099143,0.0812060368855636
LOC111099145,-0.204236909570399
LOC111099147,1.18124235789889
LOC111099147,1.18124235789889
LOC111099149,3.29220063325302
LOC111099150,-0.771720711531137
LOC111099150,-0.771720711531137
LOC111099150,-0.771720711531137
LOC111099150,-0.771720711531137
LOC111099150,-0.771720711531137
LOC111099154,-3.33399114886623
LOC111099155,1.17643495528918
LOC111099156,-0.363613171325713
LOC111099158,-2.38170794045933
LOC111099166,0.0809236910344118
LOC111099167,-1.72259918527949
LOC111099168,1.07823161000575
LOC111099169,-3.33599182892329
LOC111099170,0.0306183514230638
LOC111099171,0.0525267047463
LOC111099171,0.0525267047463
LOC111099171,0.0525267047463
LOC111099171,0.0525267047463
LOC111099171,0.0525267047463
LOC111099172,0.526270763462735
LOC111099173,-0.258013889785243
LOC111099174,1.50836703647388
LOC111099174,1.50836703647388
LOC111099176,-0.0876610815216483
LOC111099178,-0.302257438717957
LOC111099179,1.16691462121653
LOC111099182,0.175877794010197
LOC111099183,-0.136907725422118
LOC111099184,0.0164012748055384
LOC111099185,-2.26892874646369
LOC111099186,-0.379701858175946
LOC111099188,0.607723441197022
LOC111099190,-2.49258184560223
LOC111099190,-2.49258184560223
LOC111099191,-1.50506705267947
LOC111099192,-0.198285192586532
LOC111099193,-0.201569464874706
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099194,0.259492913208943
LOC111099195,0.344448726894976
LOC111099196,0.207498035678872
LOC111099196,0.207498035678872
LOC111099196,0.207498035678872
LOC111099196,0.207498035678872
LOC111099196,0.207498035678872
LOC111099196,0.207498035678872
LOC111099199,0.881202160743216
LOC111099199,0.881202160743216
LOC111099200,1.60857845035852
LOC111099201,-3.39753076838673
LOC111099202,0.376899304051031
LOC111099203,-1.59188509404411
LOC111099206,0.199737204412322
LOC111099206,0.199737204412322
LOC111099206,0.199737204412322
LOC111099206,0.199737204412322
LOC111099207,0.358358198175006
LOC111099209,-0.322644518656197
LOC111099211,-1.81172541637995
LOC111099213,1.6560973688907
LOC111099216,0.386599658320048
LOC111099217,-1.92951972932107
LOC111099217,-1.92951972932107
LOC111099217,-1.92951972932107
LOC111099217,-1.92951972932107
LOC111099218,-0.255361999482929
LOC111099219,-0.0743722176935587
LOC111099222,-1.01384683737418
LOC111099222,-1.01384683737418
LOC111099222,-1.01384683737418
LOC111099222,-1.01384683737418
LOC111099222,-1.01384683737418
LOC111099222,-1.01384683737418
LOC111099223,-0.354546323195248
LOC111099225,1.75224318713578
LOC111099230,-1.84960336161463
LOC111099230,-1.84960336161463
LOC111099278,1.48844034408847
LOC111099289,0.508852583552605
LOC111099300,1.7217804208237
LOC111099300,1.7217804208237
LOC111099327,0.492217169255271
LOC111099343,-2.05787934560371
LOC111099359,0.529563252518312
LOC111099375,2.26989061382505
LOC111099375,2.26989061382505
LOC111099375,2.26989061382505
LOC111099410,0.700083070301084
LOC111099415,-0.279923052048418
LOC111099415,-0.279923052048418
LOC111099416,0.676769936925356
LOC111099420,0.144267866445085
LOC111099420,0.144267866445085
LOC111099420,0.144267866445085
LOC111099424,0.209015232315421
LOC111099426,-0.520242144264665
LOC111099426,-0.520242144264665
LOC111099426,-0.520242144264665
LOC111099427,-0.183941126375596
LOC111099427,-0.183941126375596
LOC111099428,-0.756895971233472
LOC111099429,-3.09562109237703
LOC111099439,-1.82040925276105
LOC111099442,0.03062504895612
LOC111099443,-0.481479635078719
LOC111099443,-0.481479635078719
LOC111099446,0.154082350553963
LOC111099450,1.72704584046732
LOC111099450,1.72704584046732
LOC111099450,1.72704584046732
LOC111099452,1.99960149282093
LOC111099457,0.565839615138566
LOC111099458,2.21079619885648
LOC111099458,2.21079619885648
LOC111099458,2.21079619885648
LOC111099458,2.21079619885648
LOC111099459,-1.36386569858891
LOC111099459,-1.36386569858891
LOC111099460,0.0525109880886518
LOC111099460,0.0525109880886518
LOC111099461,-0.292113323293188
LOC111099462,-1.71817036803017
LOC111099464,-0.316231471854527
LOC111099464,-0.316231471854527
LOC111099466,2.59273431477466
LOC111099468,0.240715327901575
LOC111099469,0.231597101359835
LOC111099470,-1.41809070130522
LOC111099471,0.522273636755439
LOC111099473,-0.0653636630755016
LOC111099475,0.123092093900089
LOC111099476,2.02578689843312
LOC111099476,2.02578689843312
LOC111099479,-1.03772636946437
LOC111099479,-1.03772636946437
LOC111099481,-1.65571438337793
LOC111099481,-1.65571438337793
LOC111099481,-1.65571438337793
LOC111099481,-1.65571438337793
LOC111099483,0.793173265905088
LOC111099483,0.793173265905088
LOC111099483,0.793173265905088
LOC111099483,0.793173265905088
LOC111099484,0.00950355097843583
LOC111099489,-2.46565803572348
LOC111099490,4.91001891137198
LOC111099490,4.91001891137198
LOC111099493,-2.10447920615375
LOC111099494,-0.912259480019909
LOC111099495,2.24610346289214
LOC111099496,2.57059245623076
LOC111099496,2.57059245623076
LOC111099497,-0.529352117835419
LOC111099500,0.456650811321259
LOC111099501,-0.272825465467255
LOC111099501,-0.272825465467255
LOC111099501,-0.272825465467255
LOC111099501,-0.272825465467255
LOC111099502,0.37310067129651
LOC111099503,-0.36774371658174
LOC111099504,2.8866357151981
LOC111099504,2.8866357151981
LOC111099504,2.8866357151981
LOC111099504,2.8866357151981
LOC111099506,0.561408781050046
LOC111099506,0.561408781050046
LOC111099511,-1.48286176864717
LOC111099511,-1.48286176864717
LOC111099514,-0.0720039919913551
LOC111099515,-2.85010545987122
LOC111099515,-2.85010545987122
LOC111099515,-2.85010545987122
LOC111099517,-1.2418576148836
LOC111099517,-1.2418576148836
LOC111099519,-0.124565150552759
LOC111099519,-0.124565150552759
LOC111099520,0
LOC111099521,-0.620865563195687
LOC111099522,-0.25195775238803
LOC111099523,-0.479261622035828
LOC111099524,0.862568304491495
LOC111099526,1.89629001162032
LOC111099527,0.998747637018601
LOC111099528,1.99960149282093
LOC111099530,1.61454793473726
LOC111099531,0.164404733897891
LOC111099535,-2.04603409605211
LOC111099537,-1.91073562157184
LOC111099537,-1.91073562157184
LOC111099539,2.17378267197195
