"","MEblack","MEblue","MEbrown","MEgreen","MEpink","MEred","MEturquoise","MEyellow"
"J1_14SC1_1",0.319794442931727,-0.0754858870323548,-0.0665146165729645,0.0224244446424588,-0.105902544164129,-0.0573422049982939,0.0879250868081815,-0.168546671516368
"J1_14SC1_2",0.11811663850982,-0.0298242987085549,-0.0445753116193002,0.0412840719978843,-0.121602059875531,-0.11206982164004,0.0678233634769221,-0.110606796420646
"J1_14SC1_3",0.0192909957572169,0.132284158609336,-0.0690229484046835,0.160301033529127,0.0674722012068414,-0.010594557183856,-0.110024086331938,0.0220904358761195
"J1_14SC1_4",-0.129825067756067,0.0785671400325445,-0.0747136877956687,0.132871505455878,0.187874468917697,0.131246033471519,-0.103747661253593,0.0470764484611826
"J1_14SC2_1",-0.112140542294501,0.201163873035723,-0.0863180899262541,0.207055662597756,0.0610488467155242,-0.0380170684439656,-0.128408531438459,0.0313253605162886
"J1_14SC2_2",-0.13048888767964,0.140263113293702,-0.072194058591584,-0.00585885924972563,0.133537328047408,0.0687740217941365,-0.104680347197458,0.0348679715452723
"J1_14SC2_3",0.0368216220743995,0.231018189908084,-0.0592419440186281,0.00620738887706664,0.0538911101254961,-0.0580131024669541,-0.147515220260875,0.0825735351398901
"J1_14SC3_1",0.0468101534489033,0.0142980954964655,-0.0353730409561084,0.129656197104286,0.0180733703465249,0.0133515017826467,-0.0458934536942337,-0.00544836688126133
"J1_14SC3_2",-0.00150247873205299,0.0762613426231908,0.0196393926305496,0.0573749638854227,-0.00921102650085812,-0.0747956360099382,-0.0658958032453147,0.0611031098445985
"J1_14SC3_3",-0.0642011870517324,-0.00374870197697953,-0.140663118947996,0.0360630679526739,0.14543775794914,0.160483025260568,0.0271069988697366,-0.158474298979114
"J1_14SC3_4",0.114144828158383,0.149623027705905,-0.168887973757336,0.0505122249432126,0.312398410744919,0.269963832244843,-0.151262839748203,-0.0251215496021095
"J1_14SS1_1",0.164617626219214,-0.0919463415947774,-0.140419710512091,0.0133091532949021,-0.0771884959977807,-0.000126758538426271,0.121678489241857,-0.248228795642991
"J1_14SS1_2",0.194512202600542,-0.100794474234145,-0.123163841537035,0.0471636059042612,-0.0849675921685754,-0.0133808453380112,0.111977263163936,-0.234343335503774
"J1_14SS1_3",-0.141786875961506,0.0970484598033475,-0.101152721078285,0.0235292876489434,0.149578967600383,0.0691964256287991,-0.0507508340861779,0.00412625691742897
"J1_14SS1_4",0.148154937328195,-0.115827771460591,-0.114254467670931,0.0955976056378281,0.0142060191991806,0.0774091224128797,0.086182358827232,-0.142392421931865
"J1_14SS2_1",0.0501642093020838,0.0780231881968568,-0.196250154012791,0.0977709932735231,0.233139704772578,0.228168204760975,-0.0663408350116722,-0.0994573169082051
"J1_14SS2_2",-0.0732516534889756,-0.0325218427169891,-0.143603142641544,0.29181623406574,0.111680413330875,0.105400776507355,0.028976659350192,-0.131197174179503
"J1_14SS2_3",-0.152081719898232,0.112601072870792,-0.0987647957187006,0.159147404881873,0.176187605128271,0.0418659963564995,-0.126716598939149,0.0327582593257607
"J1_14SS2_4",0.00110554502266116,0.0407268521594753,-0.114588611872543,0.22792187847355,0.0787354252001082,0.038503853598811,-0.0244030392431307,-0.0537454858975536
"J1_14SS3_1",0.130989648547607,-0.110794682588453,-0.0588368372582217,-0.0793114325034394,0.0260907727611278,0.107474272731465,0.0829235568554631,-0.0729715244693844
"J1_14SS3_2",-0.0908714983825285,0.106061579367431,-0.0949122678408392,0.228645452904449,0.211900964140504,0.148442439787024,-0.125827954029569,0.0366811353172294
"J1_14SS3_3",-0.158770889218809,-0.0752242263695075,-0.171034969711541,0.144406957255803,0.207468064392948,0.277818965992293,0.0355299489538802,-0.0885755648687244
"J1_14SS3_4",-0.0068129648623546,0.0827538654005334,-0.173712698652445,0.0161443180241829,0.231978401211367,0.213869496927105,-0.0773135528215797,-0.0547152851582764
"J2_14SC1_1",0.0451356552084469,-0.130664948313474,0.0301349938677682,0.0246327728255066,-0.162303234190429,-0.103319275579012,0.110601896168642,-0.0390876022417778
"J2_14SC1_2",0.0237344149619661,-0.0802848750552501,0.0297998603374337,0.110008828502672,-0.148736912919592,-0.153730215874595,0.0554270038457162,-0.0213549549598284
"J2_14SC1_3",-0.0254724544576478,-0.0675602081074586,0.0703712067870159,-0.0409820878715232,-0.185208186625627,-0.172769748087655,0.0859492897073911,0.000516227758466557
"J2_14SC1_4",-0.0256827318106827,-0.148831856987024,0.046026881249721,0.0392229316338688,-0.187746293951494,-0.11318513594968,0.126269045742157,-0.0131222183352271
"J2_14SC2_1",-0.0743962835492515,-0.041128750904953,-0.0809099405728878,0.102870661374977,0.123281237370784,0.154182229315919,0.0162461988243504,-0.0424313892723127
"J2_14SC2_3",0.0903571681904657,-0.153664372185377,-0.0281246680716503,-0.0187559487282318,-0.188871815101982,-0.0641809242410123,0.193083247727015,-0.117922625090181
"J2_14SC2_4",-0.0205910169754884,-0.0861782476423929,0.0814534375043243,-0.129168783389892,-0.174902659116845,-0.183703619249953,0.115914591971743,0.0457261760070923
"J2_14SC3_1",0.0499995144383099,0.211182219923333,-0.0187720680591219,0.0380510241725315,0.0824833739498846,-0.022284884560473,-0.182676494826996,0.135831141081948
"J2_14SC3_2",0.122915793271317,-0.104858266984315,-0.0226784802342336,-0.087715004155578,-0.0357490971661789,0.0382659641428153,0.0943298261425651,-0.0268760296786883
"J2_14SC3_3",0.00411579283562699,-0.0942521155900157,-0.0595365325765473,-0.255141380187367,-0.00474289129042362,0.124836141745218,0.108438602919233,-0.027782322638093
"J2_14SC3_4",-0.111469405522957,0.173108208821137,-0.049448156034332,-0.0263462570903406,0.165087347338817,0.0976823344567529,-0.158629701029914,0.106792441482633
"J2_14SN1_1",0.225208732279489,0.155066925612303,0.0381361865662382,-0.114581950319483,-0.0403798818923141,-0.183659647188141,-0.150001422881508,0.137453566842178
"J2_14SN1_2",-0.0343490567498737,-0.0879083539112298,-0.0853431942807022,-0.249158544702005,0.041604123401795,0.112316383225427,0.124163020802945,-0.0614954174706857
"J2_14SN1_3",0.0653327887843833,-0.133881413207465,-0.0192847505254782,0.073245160807105,-0.147670404547687,-0.08470835213191,0.12342723404639,-0.0734787354061896
"J2_14SN1_4",0.0595167329793133,0.175643253572313,0.0938492181611239,-0.128581016174243,-0.0327645254745811,-0.205024182088366,-0.196524104190231,0.209884754595853
"J2_14SN2_3",-0.0695831525516152,-0.0309625816652106,-0.0968860736283686,0.016509754792791,0.0999781661260035,0.101589565082802,0.0532629723210832,-0.0813633041937692
