"","gene_id","GO_Annotation","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111111461","GO:0010951","negative regulation of endopeptidase activity",41,1,0.03,0.0274,"Biological Processes",0.024390243902439
"2","LOC111111461","GO:0051045","negative regulation of membrane protein ectodomain proteolysis",34,1,0.02,0.0228,"Biological Processes",0.0294117647058824
"3","LOC111130837","GO:0051126","negative regulation of actin nucleation",2,1,0,0.0014,"Biological Processes",0.5
"4","LOC111133546","GO:0019773","proteasome core complex, alpha-subunit complex",8,1,0.01,0.0053,"Cellular Components",0.125
"5","LOC111136991","GO:0005665","RNA polymerase II, core complex",15,1,0.01,0.0099,"Cellular Components",0.0666666666666667
"6","LOC111111461","GO:0002020","protease binding",56,1,0.04,0.042,"Molecular Functions",0.0178571428571429
"7","LOC111111461","GO:0008191","metalloendopeptidase inhibitor activity",44,1,0.03,0.033,"Molecular Functions",0.0227272727272727
"8","LOC111136991","GO:0003899","DNA-directed 5'-3' RNA polymerase activity",25,1,0.02,0.019,"Molecular Functions",0.04
