"","GeneID","log2FoldChange","pvalue","padj","diffexpressed"
"53633","MSTRG.43079",-21.7386667826447,1.14296031785483e-09,4.51745156670685e-06,"DOWN"
"54067","LOC111123012",-21.835313979843,2.65485064595762e-06,0.000997688590733703,"DOWN"
"56090","MSTRG.66818",-30,1.26032683284159e-06,0.000560068133836225,"DOWN"
"56474","MSTRG.58064",-30,6.77788269840637e-07,0.000372072816745009,"DOWN"
"56849","MSTRG.44291",-21.1772290360515,1.11358919782265e-07,0.000124423722741186,"DOWN"
"57163","MSTRG.83838",-19.2996078552903,3.17235932688475e-07,0.000230982456677348,"DOWN"
"57795","MSTRG.59823",-21.2413371756308,3.16886832108205e-07,0.000230982456677348,"DOWN"
"57969","MSTRG.23300",-28.2932403954688,1.00085331277691e-11,1.16596908805228e-07,"DOWN"
"58325","MSTRG.67601",-12.4389059275551,1.30305447732179e-06,0.000567254240267632,"DOWN"
"59003","LOC111111461",-23.27675679355,5.50955660381662e-07,0.000324987124280064,"DOWN"
"59224","LOC111124626",-18.5605973169497,1.72115454252009e-06,0.00072255928402607,"DOWN"
"59860","MSTRG.38130",-30,1.00507572598587e-06,0.00047791350770628,"DOWN"
"65627","MSTRG.60197",-29.6832121441414,2.54080098615023e-06,0.000962591749216378,"DOWN"
"66701","MSTRG.66989",-12.3454773838157,1.89823423949153e-06,0.00077592822215847,"DOWN"
"66883","LOC111120028",-28.6912698156191,1.22238445311655e-07,0.000128676925257546,"DOWN"
"69131","MSTRG.69155",-29.8155613662535,4.96519292719653e-07,0.00030443819107162,"DOWN"
"69282","MSTRG.65238",-16.4407049754748,1.25236898999552e-08,2.01238422637245e-05,"DOWN"
"69552","MSTRG.75770",-22.6838275367797,4.40015037510682e-07,0.000286748825059383,"DOWN"
"69849","MSTRG.14460",-26.5222360895667,7.1232338530656e-11,5.5322595719834e-07,"DOWN"
"70060","MSTRG.73676",-21.2203161234596,2.12453502014117e-06,0.00083461479961613,"DOWN"
"70591","MSTRG.81171",-25.0396913292034,2.93777679918963e-10,1.95567801522054e-06,"DOWN"
"70826","MSTRG.50478",-24.0806908364924,3.8979842829596e-08,5.85942482585918e-05,"DOWN"
"71648","MSTRG.47482",-27.8025743035057,9.91908319615302e-07,0.000476514801914984,"DOWN"
